Test Name,Current Gas,Previous Gas,Difference
BuilderRegistryRootstockCollectiveTest:test_ActivateBuilder(),110351,110396,-45
BuilderRegistryRootstockCollectiveTest:test_ActivateBuilderInvalidBackerRewardPercentage(),74685,74707,-22
BuilderRegistryRootstockCollectiveTest:test_ApproveBuilderKYC(),181930,167868,14062
BuilderRegistryRootstockCollectiveTest:test_CommunityApproveBuilder(),480260,468002,12258
BuilderRegistryRootstockCollectiveTest:test_CommunityApproveBuilderBeforeActivate(),480761,468525,12236
BuilderRegistryRootstockCollectiveTest:test_DeWhitelistBuilderWithoutActivate(),456468,440253,16215
BuilderRegistryRootstockCollectiveTest:test_DewhitelistBuilder(),212200,194119,18081
BuilderRegistryRootstockCollectiveTest:test_DewhitelistPausedBuilder(),201592,186658,14934
BuilderRegistryRootstockCollectiveTest:test_KYCApproveDewhitelistedBuilder(),226544,211734,14810
BuilderRegistryRootstockCollectiveTest:test_KYCRevokeDewhitelistedBuilder(),214380,199474,14906
BuilderRegistryRootstockCollectiveTest:test_KYCRevokePausedBuilder(),198210,184536,13674
BuilderRegistryRootstockCollectiveTest:test_OnlyGovernor(),54454,54542,-88
BuilderRegistryRootstockCollectiveTest:test_OnlyKycApprover(),86735,86694,41
BuilderRegistryRootstockCollectiveTest:test_PauseBuilder(),41730,41820,-90
BuilderRegistryRootstockCollectiveTest:test_PauseDewhitelistedBuilder(),209174,194329,14845
BuilderRegistryRootstockCollectiveTest:test_PauseKYCRevokedBuilder(),205814,192206,13608
BuilderRegistryRootstockCollectiveTest:test_PauseReason20bytes(),39804,39894,-90
BuilderRegistryRootstockCollectiveTest:test_PauseRevokedBuilder(),199795,186314,13481
BuilderRegistryRootstockCollectiveTest:test_PauseWithAnotherReason(),48078,48236,-158
BuilderRegistryRootstockCollectiveTest:test_PermitBuilder(),167220,153210,14010
BuilderRegistryRootstockCollectiveTest:test_PermitBuilderInvalidBackerRewardPercentage(),173381,159808,13573
BuilderRegistryRootstockCollectiveTest:test_PermitBuilderRevert(),52795,52948,-153
BuilderRegistryRootstockCollectiveTest:test_RevertActivatingWhitelistedRevokedBuilder(),193970,180293,13677
BuilderRegistryRootstockCollectiveTest:test_RevertAlreadyCommunityApproved(),34717,34739,-22
BuilderRegistryRootstockCollectiveTest:test_RevertAlreadyKYCActivated(),32751,32795,-44
BuilderRegistryRootstockCollectiveTest:test_RevertAlreadyKYCApproved(),34973,34952,21
BuilderRegistryRootstockCollectiveTest:test_RevertAlreadyRevoked(),173222,159629,13593
BuilderRegistryRootstockCollectiveTest:test_RevertBuilderDoesNotExist(),75153,75307,-154
BuilderRegistryRootstockCollectiveTest:test_RevertNotKYCActivated(),423317,410993,12324
BuilderRegistryRootstockCollectiveTest:test_RevertPermitBuilderNotKYCApproved(),204244,190700,13544
BuilderRegistryRootstockCollectiveTest:test_RevertPermitBuilderNotWhitelisted(),192002,177065,14937
BuilderRegistryRootstockCollectiveTest:test_RevertRevokeBuilderKYCNotKYCApproved(),193666,179945,13721
BuilderRegistryRootstockCollectiveTest:test_RevertRevokeBuilderNotKYCApproved(),192710,179056,13654
BuilderRegistryRootstockCollectiveTest:test_RevertRevokeBuilderNotWhitelisted(),191861,176881,14980
BuilderRegistryRootstockCollectiveTest:test_RevertWhitelistingBuilderTwice(),193509,178506,15003
BuilderRegistryRootstockCollectiveTest:test_RevertsDewhitelistBuilder(),193434,178498,14936
BuilderRegistryRootstockCollectiveTest:test_RevokeBuilder(),193826,177086,16740
BuilderRegistryRootstockCollectiveTest:test_RevokeBuilderKYC(),213265,196487,16778
BuilderRegistryRootstockCollectiveTest:test_RevokePausedBuilder(),173422,159437,13985
BuilderRegistryRootstockCollectiveTest:test_UnpauseBuilder(),43008,43076,-68
